Teriqma,owl*tree,128,3,3.0,345,6,6.5,579,9,9.4,873,0,0.0,0,9+,9.7,954
MAHOROBA,Zekk,195,3,3.0,422,6,6.5,632,9,9.5,828,0,0.0,0,0,0.0,0
BADTEK,EBIMAYO,190,4,4.0,532,7,7.0,595,9+,9.7,916,0,0.0,0,0,0.0,0
Malicious Mischance,s-don,155,4,4.0,510,7+,7.8,706,10,10.2,1126,0,0.0,0,0,0.0,0
Got hive of Ra,E.G.G.,268,3,3.0,322,6,6.5,509,9+,9.8,794,0,0.0,0,0,0.0,0
BUCHiGiRE Berserker,REDALiCE vs MASAKI,200,5,5.0,850,8,8.6,1046,10+,10.8,1412,0,0.0,0,0,0.0,0
Galaxy Friends,Kobaryo,300,3,3.5,474,6,6.0,572,9+,9.9,1013,0,0.0,0,0,0.0,0
CROSS†OVER,HyuN feat. LyuU,200,4,4.0,653,6,6.5,810,9,9.4,1094,0,0.0,0,0,0.0,0
Lapis,SHIKI,146,2,2.0,391,6,6.0,520,9,9.4,920,0,0.0,0,0,0.0,0
Xeraphinite,BlackY,146,3,3.0,383,7,7.5,643,9+,9.8,1048,0,0.0,0,0,0.0,0
Xanatos,Tatsh,170,4,4.0,735,7,7.5,938,10,10.0,1232,0,0.0,0,0,0.0,0
Alice à la mode,Masanori Akita,80-134,2,2.5,436,6,6.5,618,9,9.2,872,0,0.0,0,0,0.0,0
Eccentric Tale,Yamajet,132,2,2.0,313,5,5.5,483,8,8.6,732,0,0.0,0,0,0.0,0
Alice's Suitcase,Endorfin.,190,3,3.5,644,6,6.0,660,9,9.1,999,0,0.0,0,0,0.0,0
Jump,Rasmus Faber,133,4,4.0,531,6,6.0,622,9,9.0,841,0,0.0,0,0,0.0,0
Felis,M2U,155,4,4.0,463,7,7.5,624,10,10.4,1153,0,0.0,0,0,0.0,0
Purple Verse,Hommarju,170,4,4.0,558,7,7.5,664,9,9.6,1023,0,0.0,0,10,10.6,1202
Beside You,Takahiro Eguchi,181,2,2.5,526,6,6.0,634,8+,8.7,703,0,0.0,0,0,0.0,0
Heart Jackin',Yu_Asahina,160,3,3.0,506,5,5.5,543,9+,9.7,1112,0,0.0,0,0,0.0,0
To: Alice Liddell,モリモリあつし,222,4,4.0,535,7,7.5,774,10,10.3,998,0,0.0,0,0,0.0,0
Lazy Addiction,sky_delta,185,2,2.5,462,6,6.0,647,9,9.6,1031,0,0.0,0,0,0.0,0
Dazzle hop,Sampling Masters MEGA,220,3,3.5,561,6,6.5,571,9+,9.7,1022,0,0.0,0,0,0.0,0
Viyella's Tears,Laur,218,4,4.0,716,7+,7.8,942,10,10.3,1403,0,0.0,0,0,0.0,0
w4,穴山大輔 VS 光吉猛修 VS Kai,71-192,3,3.5,816,7+,7.8,943,10+,10.8,1393,0,0.0,0,0,0.0,0
April showers,cubesato,79,2,2.0,363,5,5.5,544,8,8.6,697,0,0.0,0,0,0.0,0
7thSense,削除,150,3,3.0,360,7+,7.8,739,9+,9.9,925,0,0.0,0,0,0.0,0
Oshama Scramble!,t+pazolite,190,3,3.5,508,6,6.5,568,10,10.0,1073,0,0.0,0,0,0.0,0
AMAZING MIGHTYYYY!!!!,WAiKURO,185,4,4.5,624,7+,7.8,776,10+,10.7,1249,0,0.0,0,0,0.0,0
Climax,USAO,190,4,4.5,773,7+,7.8,988,10,10.4,1367,0,0.0,0,0,0.0,0
Last Celebration,Laur vs CK,238,3,3.5,969,6,6.5,994,10,10.4,1475,0,0.0,0,0,0.0,0
Misdeed -la bonté de Dieu et l'origine du mal-,光吉猛修 VS 穴山大輔,190,5,5.5,814,8,8.5,1070,10+,10.9,1522,0,0.0,0,0,0.0,0
AttraqtiA,かめりあ,202,4,4.0,732,8,8.3,1002,10,10.6,1433,0,0.0,0,0,0.0,0
Glow,SPACELECTRO,165,4,4.0,504,7,7.5,666,9,9.3,916,0,0.0,0,0,0.0,0
enchanted love,linear ring,95,2,2.0,436,4,4.5,617,8,8.4,759,0,0.0,0,0,0.0,0
Bamboo,立秋 feat. ちょこ,5-315,3,3.0,499,6,6.5,631,10,10.0,1050,0,0.0,0,0,0.0,0
GIMME DA BLOOD,C-Show,87-110,3,3.0,582,7,7.5,737,10,10.5,1093,0,0.0,0,0,0.0,0
Can I Friend You on Bassbook? Lol,かめりあ feat. ななひら,128,3,3.0,415,6,6.5,548,9,9.3,861,0,0.0,0,0,0.0,0
Life is PIANO,Junk,133,3,3.5,398,5,5.5,437,9,9.1,674,0,0.0,0,0,0.0,0
Paper Witch,Yu-dachi,130,2,2.0,348,5,5.0,487,8+,8.7,793,0,0.0,0,0,0.0,0
Crystal Gravity,Tanchiky vs. siromaru,178,3,3.5,571,6,6.8,653,9,9.4,872,0,0.0,0,0,0.0,0
Far Away Light,technoplanet feat. はるの & 黒沢ダイスケ,180-216,4,4.5,656,7+,7.8,769,9+,9.8,1322,0,0.0,0,0,0.0,0
Loschen ,BlackY feat. Risa Yuzuki,181,3,3.5,642,7,7.0,850,10,10.2,1235,0,0.0,0,0,0.0,0
Aegleseeker,Silentroom vs Frums,234,5,5.5,973,9,9.1,1235,11,11.2,1568,0,0.0,0,0,0.0,0
Coastal Highway,Glitch Droids,110,3,3.0,355,6,6.0,479,9,9.1,732,0,0.0,0,0,0.0,0
ODYSSEIA,Sober Bear,174,4,4.0,717,7+,7.8,909,9,9.5,1092,0,0.0,0,0,0.0,0
Overwhelm,xi,200,5,5.0,854,8,8.5,1038,10,10.6,1251,0,0.0,0,0,0.0,0
Vandalism,Ashrount,194,3,3.5,668,7,7.0,685,9+,9.7,1087,0,0.0,0,0,0.0,0
Turbocharger,A/I,128-170,2,2.5,419,6,6.0,659,9,9.0,979,0,0.0,0,0,0.0,0
THE ULTIMACY,aran vs Massive New Krew,200,3,3.0,749,7,7.0,919,9+,9.8,1304,0,0.0,0,0,0.0,0
REKKA RESONANCE,REDALiCE vs Kobaryo,240,5,5.0,860,8+,8.9,1051,10+,10.7,1212,0,0.0,0,0,0.0,0
Small Cloud Sugar Candy,テヅカ x Aoi feat.桃雛なの,220,3,3.0,548,6,6.0,727,9,9.3,919,0,0.0,0,0,0.0,0
AlterAle,Arik Kau Delay (アラ & かゆき & でり),220-245,3,3.0,728,6,6.5,881,9+,9.7,1277,0,0.0,0,0,0.0,0
Divine Light of Myriad,yoho,172,4,4.5,798,7+,7.8,835,10+,10.8,1021,0,0.0,0,0,0.0,0
Seclusion,Laur feat. Sennzai,175,4,4.0,544,7,7.5,762,10,10.6,1132,0,0.0,0,0,0.0,0
False Embellishment,影虎。 & ikaruga_nex,155,3,3.5,576,6,6.5,684,9,9.3,969,0,0.0,0,0,0.0,0
HIVEMIND,かたぎり,252,4,4.0,995,8,8.6,988,10,10.0,1252,0,0.0,0,0,0.0,0
Quon,DJ Noriken,170,2,2.5,425,6,6.0,496,8+,8.7,749,0,0.0,0,10,10.2,1044
with U,t+pazolite & Massive New Krew feat. リリィ(CV:青木志貴),155,2,2.5,448,6,6.5,649,9,9.4,932,0,0.0,0,0,0.0,0
Let you DIVE! (nitro rmx),nitro (lowiro),185,3,3.0,608,6,6.5,819,9,9.4,1049,0,0.0,0,0,0.0,0
Mazy Metroplex,aran,155,3,3.0,453,7+,7.8,704,9+,9.7,952,0,0.0,0,0,0.0,0
GENOCIDER,DJ Myosuke,250-390,4,4.5,832,8+,8.9,1025,10+,10.8,1483,0,0.0,0,0,0.0,0
Sheriruth (Laur Remix),Laur,200,4,4.0,671,7,7.8,795,10,10.5,1134,0,0.0,0,0,0.0,0
Evening in Scarlet,Freezer feat. 妃莓,170,4,4.0,530,7,7.0,638,9,9.5,922,0,0.0,0,0,0.0,0
blue comet,ああああ,100-172,3,3.5,494,5,5.0,645,8,8.2,776,0,0.0,0,0,0.0,0
